                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7963,                0.27083,                0.88333,                 1.7798,             0.00023416,             0.00023416,             0.00023416
                      2,                 1.6424,                 0.3375,                0.90417,                 1.7348,             0.00046749,             0.00046749,             0.00046749
                      3,                 1.4598,                  0.375,                0.95833,                 1.6756,              0.0006961,              0.0006961,              0.0006961
                      4,                 1.2795,                 0.4125,                0.98333,                 1.6351,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.1532,                  0.475,                  0.975,                 1.5976,             0.00068573,             0.00068573,             0.00068573
                      6,                 1.0362,                0.52917,                0.99583,                  1.573,             0.00067866,             0.00067866,             0.00067866
                      7,                0.88719,                0.53333,                0.97917,                 1.5615,             0.00067159,             0.00067159,             0.00067159
                      8,                0.81856,                0.54583,                0.99167,                  1.559,             0.00066452,             0.00066452,             0.00066452
                      9,                0.71532,                 0.5625,                0.99583,                   1.51,             0.00065745,             0.00065745,             0.00065745
                     10,                0.64649,                0.55417,                0.99167,                 1.5216,             0.00065038,             0.00065038,             0.00065038
                     11,                 0.6123,                0.54167,                0.97917,                 1.5098,             0.00064331,             0.00064331,             0.00064331
                     12,                0.57435,                 0.5375,                0.97917,                 1.5193,             0.00063625,             0.00063625,             0.00063625
                     13,                0.51502,                0.55417,                0.99167,                  1.501,             0.00062918,             0.00062918,             0.00062918
                     14,                0.48201,                0.54167,                0.99583,                 1.5062,             0.00062211,             0.00062211,             0.00062211
                     15,                0.43807,                   0.55,                0.99167,                 1.5071,             0.00061504,             0.00061504,             0.00061504
                     16,                0.41678,                 0.5375,                 0.9875,                 1.5046,             0.00060797,             0.00060797,             0.00060797
                     17,                0.41252,                  0.575,                0.98333,                 1.4861,              0.0006009,              0.0006009,              0.0006009
                     18,                0.34135,                0.55417,                  0.975,                 1.4911,             0.00059383,             0.00059383,             0.00059383
                     19,                0.37038,                    0.6,                0.97083,                 1.4516,             0.00058677,             0.00058677,             0.00058677
                     20,                0.34448,                0.59167,                0.97917,                 1.4567,              0.0005797,              0.0005797,              0.0005797
                     21,                0.33279,                0.57083,                0.97083,                 1.4637,             0.00057263,             0.00057263,             0.00057263
                     22,                0.26853,                 0.5875,                0.97083,                 1.4661,             0.00056556,             0.00056556,             0.00056556
                     23,                0.27419,                0.59583,                0.98333,                 1.4684,             0.00055849,             0.00055849,             0.00055849
                     24,                0.25977,                 0.5625,                 0.9875,                 1.4669,             0.00055142,             0.00055142,             0.00055142
                     25,                0.27389,                0.54583,                0.97917,                 1.4896,             0.00054435,             0.00054435,             0.00054435
                     26,                0.24661,                0.57083,                0.98333,                 1.4748,             0.00053728,             0.00053728,             0.00053728
                     27,                0.24473,                 0.5625,                0.97917,                 1.4722,             0.00053022,             0.00053022,             0.00053022
                     28,                0.25192,                  0.575,                0.97083,                 1.4717,             0.00052315,             0.00052315,             0.00052315
                     29,                0.24553,                0.59167,                  0.975,                 1.4553,             0.00051608,             0.00051608,             0.00051608
                     30,                 0.1777,                0.58333,                  0.975,                 1.4658,             0.00050901,             0.00050901,             0.00050901
                     31,                0.23888,                0.59583,                0.99167,                 1.4329,             0.00050194,             0.00050194,             0.00050194
                     32,                0.26367,                0.57083,                 0.9875,                 1.4729,             0.00049487,             0.00049487,             0.00049487
