                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6904,                0.65263,                      1,                0.65797,             0.00023304,             0.00023304,             0.00023304
                      2,                0.57952,                0.71053,                      1,                0.59511,             0.00046638,             0.00046638,             0.00046638
                      3,                0.46841,                0.74737,                      1,                0.55185,               0.000695,               0.000695,               0.000695
                      4,                0.35974,                    0.8,                      1,                0.52091,             0.00069279,             0.00069279,             0.00069279
                      5,                 0.2863,                    0.8,                      1,                0.50515,             0.00068573,             0.00068573,             0.00068573
                      6,                0.27101,                0.77895,                      1,                0.51779,             0.00067866,             0.00067866,             0.00067866
                      7,                0.22033,                0.77895,                      1,                0.51093,             0.00067159,             0.00067159,             0.00067159
                      8,                0.21566,                0.81053,                      1,                0.49539,             0.00066452,             0.00066452,             0.00066452
                      9,                0.19137,                0.75263,                      1,                0.54033,             0.00065745,             0.00065745,             0.00065745
                     10,                0.16664,                0.82632,                      1,                0.49156,             0.00065038,             0.00065038,             0.00065038
                     11,                0.20364,                0.75263,                      1,                0.53065,             0.00064331,             0.00064331,             0.00064331
                     12,                0.18889,                0.82632,                      1,                0.48566,             0.00063625,             0.00063625,             0.00063625
                     13,                0.16291,                0.79474,                      1,                0.50578,             0.00062918,             0.00062918,             0.00062918
                     14,                0.16239,                0.81053,                      1,                 0.5142,             0.00062211,             0.00062211,             0.00062211
                     15,                0.10817,                0.78421,                      1,                0.51289,             0.00061504,             0.00061504,             0.00061504
                     16,                0.16346,                0.77368,                      1,                0.52553,             0.00060797,             0.00060797,             0.00060797
                     17,                0.15796,                0.78947,                      1,                0.50302,              0.0006009,              0.0006009,              0.0006009
                     18,                0.13058,                0.79474,                      1,                0.51017,             0.00059383,             0.00059383,             0.00059383
                     19,                0.11007,                0.81053,                      1,                0.49771,             0.00058677,             0.00058677,             0.00058677
                     20,                0.07823,                0.82105,                      1,                0.48123,              0.0005797,              0.0005797,              0.0005797
                     21,                0.08434,                0.78421,                      1,                0.49692,             0.00057263,             0.00057263,             0.00057263
                     22,                0.08043,                0.82105,                      1,                0.47823,             0.00056556,             0.00056556,             0.00056556
                     23,                0.09297,                0.81579,                      1,                0.48016,             0.00055849,             0.00055849,             0.00055849
                     24,                0.09097,                0.82632,                      1,                0.47387,             0.00055142,             0.00055142,             0.00055142
                     25,                0.07388,                0.82105,                      1,                0.48091,             0.00054435,             0.00054435,             0.00054435
                     26,                0.08418,                0.83684,                      1,                0.47393,             0.00053728,             0.00053728,             0.00053728
                     27,                0.08282,                0.84211,                      1,                 0.4635,             0.00053022,             0.00053022,             0.00053022
                     28,                0.08332,                0.83158,                      1,                0.47168,             0.00052315,             0.00052315,             0.00052315
                     29,                0.07801,                0.83684,                      1,                0.46965,             0.00051608,             0.00051608,             0.00051608
                     30,                0.05126,                0.82105,                      1,                0.47498,             0.00050901,             0.00050901,             0.00050901
                     31,                0.06545,                0.83684,                      1,                0.47479,             0.00050194,             0.00050194,             0.00050194
                     32,                0.07207,                0.82632,                      1,                0.48307,             0.00049487,             0.00049487,             0.00049487
                     33,                 0.0641,                0.84737,                      1,                0.47359,              0.0004878,              0.0004878,              0.0004878
                     34,                0.06742,                0.84737,                      1,                0.47141,             0.00048074,             0.00048074,             0.00048074
                     35,                0.05467,                0.85789,                      1,                0.46293,             0.00047367,             0.00047367,             0.00047367
                     36,                0.05331,                0.86316,                      1,                0.45536,              0.0004666,              0.0004666,              0.0004666
                     37,                0.05433,                0.85263,                      1,                0.46425,             0.00045953,             0.00045953,             0.00045953
                     38,                0.07573,                0.84211,                      1,                0.46906,             0.00045246,             0.00045246,             0.00045246
                     39,                0.05125,                0.82105,                      1,                0.47686,             0.00044539,             0.00044539,             0.00044539
                     40,                 0.0546,                0.85789,                      1,                0.45365,             0.00043832,             0.00043832,             0.00043832
                     41,                0.05165,                0.83684,                      1,                0.47028,             0.00043126,             0.00043126,             0.00043126
                     42,                0.06726,                0.84211,                      1,                0.46325,             0.00042419,             0.00042419,             0.00042419
                     43,                 0.0617,                0.83684,                      1,                0.47546,             0.00041712,             0.00041712,             0.00041712
                     44,                0.05458,                0.85263,                      1,                0.46671,             0.00041005,             0.00041005,             0.00041005
                     45,                0.05834,                0.84211,                      1,                0.46018,             0.00040298,             0.00040298,             0.00040298
                     46,                0.03841,                0.84737,                      1,                0.46792,             0.00039591,             0.00039591,             0.00039591
                     47,                0.03346,                0.82632,                      1,                0.48235,             0.00038884,             0.00038884,             0.00038884
                     48,                 0.0442,                0.82632,                      1,                0.47137,             0.00038178,             0.00038178,             0.00038178
                     49,                0.02131,                0.85263,                      1,                0.46535,             0.00037471,             0.00037471,             0.00037471
                     50,                0.02616,                0.85263,                      1,                0.45732,             0.00036764,             0.00036764,             0.00036764
                     51,                0.03415,                0.85263,                      1,                0.46898,             0.00036057,             0.00036057,             0.00036057
                     52,                0.04412,                0.84737,                      1,                0.47069,              0.0003535,              0.0003535,              0.0003535
                     53,                0.03708,                0.84211,                      1,                0.45895,             0.00034643,             0.00034643,             0.00034643
                     54,                0.03187,                0.86316,                      1,                0.45344,             0.00033936,             0.00033936,             0.00033936
                     55,                  0.037,                0.85789,                      1,                0.45261,              0.0003323,              0.0003323,              0.0003323
                     56,                0.03568,                0.84211,                      1,                0.46599,             0.00032523,             0.00032523,             0.00032523
                     57,                0.04871,                0.84737,                      1,                0.46588,             0.00031816,             0.00031816,             0.00031816
                     58,                0.03317,                0.86316,                      1,                0.44977,             0.00031109,             0.00031109,             0.00031109
                     59,                 0.0335,                0.83158,                      1,                0.46833,             0.00030402,             0.00030402,             0.00030402
                     60,                0.03536,                0.83684,                      1,                0.47402,             0.00029695,             0.00029695,             0.00029695
                     61,                0.03179,                0.86316,                      1,                0.46007,             0.00028988,             0.00028988,             0.00028988
                     62,                0.02167,                0.82632,                      1,                 0.4627,             0.00028282,             0.00028282,             0.00028282
                     63,                0.02045,                0.85263,                      1,                0.46031,             0.00027575,             0.00027575,             0.00027575
                     64,                0.02704,                0.84211,                      1,                0.46217,             0.00026868,             0.00026868,             0.00026868
                     65,                0.03165,                0.87368,                      1,                 0.4435,             0.00026161,             0.00026161,             0.00026161
                     66,                0.02239,                0.83684,                      1,                0.46439,             0.00025454,             0.00025454,             0.00025454
                     67,                0.02094,                0.85263,                      1,                0.45981,             0.00024747,             0.00024747,             0.00024747
                     68,                0.01829,                0.85263,                      1,                0.45505,              0.0002404,              0.0002404,              0.0002404
                     69,                0.02141,                0.85789,                      1,                0.45492,             0.00023334,             0.00023334,             0.00023334
                     70,                0.01496,                0.84737,                      1,                0.45521,             0.00022627,             0.00022627,             0.00022627
                     71,                0.01918,                0.84211,                      1,                0.45882,              0.0002192,              0.0002192,              0.0002192
                     72,                0.02225,                0.83684,                      1,                0.46801,             0.00021213,             0.00021213,             0.00021213
                     73,                 0.0202,                0.85789,                      1,                0.45944,             0.00020506,             0.00020506,             0.00020506
                     74,                0.02295,                0.86316,                      1,                0.46166,             0.00019799,             0.00019799,             0.00019799
                     75,                0.01647,                0.85263,                      1,                 0.4598,             0.00019092,             0.00019092,             0.00019092
                     76,                0.02998,                0.85789,                      1,                0.45294,             0.00018385,             0.00018385,             0.00018385
                     77,                0.01637,                0.86316,                      1,                0.45728,             0.00017679,             0.00017679,             0.00017679
                     78,                0.01794,                0.84737,                      1,                0.45861,             0.00016972,             0.00016972,             0.00016972
                     79,                 0.0155,                0.85789,                      1,                0.45562,             0.00016265,             0.00016265,             0.00016265
                     80,                0.01298,                0.84737,                      1,                0.45507,             0.00015558,             0.00015558,             0.00015558
