                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70011,                0.65172,                      1,                0.65813,             0.00023474,             0.00023474,             0.00023474
                      2,                0.62907,                0.68621,                      1,                0.60225,             0.00046806,             0.00046806,             0.00046806
                      3,                0.58044,                    0.7,                      1,                0.62004,             0.00069667,             0.00069667,             0.00069667
                      4,                0.53982,                0.68621,                      1,                0.64024,             0.00069279,             0.00069279,             0.00069279
                      5,                0.54588,                0.75172,                      1,                0.59953,             0.00068573,             0.00068573,             0.00068573
                      6,                0.44522,                0.73448,                      1,                0.59633,             0.00067866,             0.00067866,             0.00067866
                      7,                0.43855,                0.74138,                      1,                0.56647,             0.00067159,             0.00067159,             0.00067159
                      8,                0.43819,                0.77931,                      1,                0.56615,             0.00066452,             0.00066452,             0.00066452
                      9,                0.41076,                0.76207,                      1,                0.54608,             0.00065745,             0.00065745,             0.00065745
                     10,                0.37263,                0.73793,                      1,                0.55336,             0.00065038,             0.00065038,             0.00065038
                     11,                0.33545,                0.74828,                      1,                0.53539,             0.00064331,             0.00064331,             0.00064331
                     12,                0.32872,                0.75172,                      1,                 0.5508,             0.00063625,             0.00063625,             0.00063625
                     13,                0.33545,                0.78966,                      1,                0.58832,             0.00062918,             0.00062918,             0.00062918
                     14,                 0.2873,                0.75517,                      1,                0.56526,             0.00062211,             0.00062211,             0.00062211
                     15,                0.31176,                0.75517,                      1,                0.54534,             0.00061504,             0.00061504,             0.00061504
                     16,                0.28673,                0.75517,                      1,                0.56737,             0.00060797,             0.00060797,             0.00060797
                     17,                 0.2657,                0.71379,                      1,                0.53547,              0.0006009,              0.0006009,              0.0006009
                     18,                0.26105,                0.71379,                      1,                 0.5465,             0.00059383,             0.00059383,             0.00059383
                     19,                0.22748,                0.73793,                      1,                0.58434,             0.00058677,             0.00058677,             0.00058677
                     20,                0.24636,                0.74828,                      1,                0.52521,              0.0005797,              0.0005797,              0.0005797
                     21,                0.18621,                0.72414,                      1,                0.59251,             0.00057263,             0.00057263,             0.00057263
                     22,                 0.2132,                0.74828,                      1,                0.53737,             0.00056556,             0.00056556,             0.00056556
                     23,                0.23408,                0.72414,                      1,                0.53033,             0.00055849,             0.00055849,             0.00055849
                     24,                0.18668,                0.74828,                      1,                0.52443,             0.00055142,             0.00055142,             0.00055142
                     25,                 0.1705,                0.75862,                      1,                0.55632,             0.00054435,             0.00054435,             0.00054435
                     26,                0.19597,                0.76552,                      1,                0.51547,             0.00053728,             0.00053728,             0.00053728
                     27,                0.20443,                0.73448,                      1,                0.53849,             0.00053022,             0.00053022,             0.00053022
