                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.52864,                0.91512,                0.74336,                   1.04,                0.90852,                0.86441,                0.91579,                0.65867,                0.92633,                0.88136,                0.91883,                0.67104,                0.86724,                 1.4463,                0.76548,                 1.1912,                0.00022,                0.00022,                0.00022
                      2,                 0.6122,                 1.0323,                0.52246,                 1.0943,                 0.9436,                0.84746,                0.90531,                0.73144,                0.92291,                0.91525,                0.92907,                0.71418,                0.65912,                 1.3212,                 0.7393,                 1.0354,             0.00045545,             0.00045545,             0.00045545
                      3,                0.59693,                 1.0666,                 0.5011,                 1.0873,                0.69635,                0.66077,                0.60004,                0.47094,                0.59532,                0.77966,                0.61117,                0.43807,                0.80946,                 1.5727,                 1.4592,                 1.1786,             0.00068614,             0.00068614,             0.00068614
                      4,                0.62663,                 1.0452,                0.52452,                 1.1165,                0.97137,                0.88136,                0.91535,                 0.7212,                0.96589,                0.86441,                0.89946,                0.64914,                 0.8323,                 1.6468,                0.94401,                 1.2288,             0.00091208,             0.00091208,             0.00091208
                      5,                0.67774,                 1.1282,                0.56737,                 1.1363,                0.59157,                0.81356,                0.55529,                0.42975,                0.57606,                0.78309,                0.54708,                0.39405,                0.89718,                  2.886,                 2.0974,                 1.2658,              0.0011333,              0.0011333,              0.0011333
                      6,                0.73725,                 1.2023,                0.60837,                 1.1649,                 0.2345,                0.71186,                0.20008,                0.12333,                0.22322,                0.67797,                0.18715,                0.10213,                 1.6228,                 17.485,                 31.694,                 2.8816,              0.0013497,              0.0013497,              0.0013497
                      7,                0.71843,                 1.1627,                0.60364,                 1.1765,                 0.9062,                0.81877,                0.87709,                 0.5924,                0.83125,                0.75147,                0.83677,                0.54796,                 1.4135,                 3.2909,                 1.3713,                  1.984,              0.0015614,              0.0015614,              0.0015614
                      8,                0.73817,                 1.2764,                0.58874,                 1.2038,                0.86499,                0.79661,                0.88593,                0.66611,                0.86499,                0.79661,                0.88167,                0.62311,                 1.1288,                 2.2054,                 1.1376,                 1.5136,              0.0017683,              0.0017683,              0.0017683
                      9,                0.73723,                 1.2785,                0.60499,                 1.2152,                0.86861,                0.66102,                 0.8091,                0.57409,                0.86861,                0.66102,                0.82383,                 0.5425,                 1.1583,                  4.954,                 1.2261,                 1.4491,              0.0018416,              0.0018416,              0.0018416
                     10,                0.77508,                 1.3268,                0.59801,                 1.2141,                0.98927,                0.28814,                0.35195,                 0.2792,                0.98927,                0.28814,                0.34662,                0.24463,                 1.8221,                 3.6928,                 2.6418,                 2.0262,              0.0018218,              0.0018218,              0.0018218
                     11,                0.75938,                 1.1779,                0.60733,                 1.1891,                0.89293,                0.40678,                 0.5028,                0.28623,                0.89293,                0.40678,                0.47994,                0.28144,                 2.1864,                 3.1932,                 2.6274,                 2.4657,               0.001802,               0.001802,               0.001802
                     12,                0.62917,                 1.1099,                0.51469,                 1.1045,                0.91662,                0.44068,                0.57335,                0.43946,                0.91662,                0.44068,                0.58068,                0.35111,                 1.3428,                 2.5865,                 2.0554,                 1.6182,              0.0017822,              0.0017822,              0.0017822
                     13,                 0.6864,                  1.207,                0.56762,                 1.1456,                0.92491,                0.61017,                0.74543,                0.48898,                0.79571,                0.59322,                0.68433,                0.29672,                 1.4807,                 3.6972,                 1.5934,                 1.7163,              0.0017624,              0.0017624,              0.0017624
                     14,                0.71933,                 1.1556,                0.60216,                 1.1673,                0.84784,                0.47226,                0.58082,                0.40453,                0.84784,                0.47226,                0.57135,                0.35311,                  1.625,                 2.4839,                 1.6726,                 2.0648,              0.0017426,              0.0017426,              0.0017426
                     15,                0.69709,                 1.2056,                  0.574,                 1.1615,                0.92278,                0.89831,                0.92951,                0.71046,                0.92278,                0.89831,                0.93145,                0.62417,                0.91804,                 1.8918,                 1.0997,                 1.4985,              0.0017228,              0.0017228,              0.0017228
