                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68845,                0.66154,                      1,                0.63993,             0.00023445,             0.00023445,             0.00023445
                      2,                 0.5723,                0.78462,                      1,                0.58565,             0.00046777,             0.00046777,             0.00046777
                      3,                0.50924,                   0.75,                      1,                0.56445,             0.00069638,             0.00069638,             0.00069638
                      4,                 0.3878,                0.75385,                      1,                0.53461,             0.00069279,             0.00069279,             0.00069279
                      5,                0.33516,                0.76923,                      1,                0.53375,             0.00068573,             0.00068573,             0.00068573
                      6,                  0.299,                0.72692,                      1,                0.56501,             0.00067866,             0.00067866,             0.00067866
                      7,                0.24823,                    0.7,                      1,                0.61526,             0.00067159,             0.00067159,             0.00067159
                      8,                0.25486,                0.76923,                      1,                0.54236,             0.00066452,             0.00066452,             0.00066452
                      9,                0.23223,                0.73077,                      1,                0.55282,             0.00065745,             0.00065745,             0.00065745
                     10,                0.20247,                0.73846,                      1,                0.57645,             0.00065038,             0.00065038,             0.00065038
                     11,                0.20906,                0.71923,                      1,                0.59457,             0.00064331,             0.00064331,             0.00064331
                     12,                0.18817,                0.69231,                      1,                0.58056,             0.00063625,             0.00063625,             0.00063625
                     13,                0.18948,                0.68462,                      1,                0.59934,             0.00062918,             0.00062918,             0.00062918
                     14,                0.15111,                0.70385,                      1,                0.60485,             0.00062211,             0.00062211,             0.00062211
                     15,                0.16831,                0.74231,                      1,                0.53385,             0.00061504,             0.00061504,             0.00061504
                     16,                0.14083,                0.67692,                      1,                0.60621,             0.00060797,             0.00060797,             0.00060797
                     17,                0.10351,                    0.7,                      1,                0.56374,              0.0006009,              0.0006009,              0.0006009
                     18,                0.12519,                0.68846,                      1,                 0.5838,             0.00059383,             0.00059383,             0.00059383
                     19,                0.10075,                0.72692,                      1,                0.55482,             0.00058677,             0.00058677,             0.00058677
                     20,                0.11137,                0.69231,                      1,                0.59137,              0.0005797,              0.0005797,              0.0005797
                     21,                0.07813,                   0.75,                      1,                0.53479,             0.00057263,             0.00057263,             0.00057263
                     22,                0.10933,                0.76923,                      1,                0.54573,             0.00056556,             0.00056556,             0.00056556
                     23,                0.10592,                0.71154,                      1,                0.57296,             0.00055849,             0.00055849,             0.00055849
                     24,                0.11057,                0.72308,                      1,                  0.557,             0.00055142,             0.00055142,             0.00055142
                     25,                 0.1153,                0.72692,                      1,                0.59487,             0.00054435,             0.00054435,             0.00054435
                     26,                0.09518,                0.67308,                      1,                0.59305,             0.00053728,             0.00053728,             0.00053728
                     27,                 0.0998,                0.79231,                      1,                0.50661,             0.00053022,             0.00053022,             0.00053022
                     28,                0.09841,                0.68846,                      1,                0.62084,             0.00052315,             0.00052315,             0.00052315
                     29,                0.08261,                0.73077,                      1,                0.54134,             0.00051608,             0.00051608,             0.00051608
                     30,                0.06774,                0.70769,                      1,                0.61089,             0.00050901,             0.00050901,             0.00050901
                     31,                0.07808,                0.71154,                      1,                0.58616,             0.00050194,             0.00050194,             0.00050194
                     32,                0.08064,                0.78077,                      1,                0.51651,             0.00049487,             0.00049487,             0.00049487
                     33,                0.09229,                0.73846,                      1,                0.57222,              0.0004878,              0.0004878,              0.0004878
                     34,                0.08321,                0.77692,                      1,                0.50613,             0.00048074,             0.00048074,             0.00048074
                     35,                0.08766,                0.76538,                      1,                0.50381,             0.00047367,             0.00047367,             0.00047367
                     36,                 0.1028,                0.76154,                      1,                0.55477,              0.0004666,              0.0004666,              0.0004666
                     37,                0.07282,                0.73077,                      1,                0.54208,             0.00045953,             0.00045953,             0.00045953
                     38,                0.04847,                0.77308,                      1,                0.50511,             0.00045246,             0.00045246,             0.00045246
                     39,                0.06501,                0.71538,                      1,                0.57089,             0.00044539,             0.00044539,             0.00044539
                     40,                0.04762,                0.72308,                      1,                0.55484,             0.00043832,             0.00043832,             0.00043832
                     41,                0.04764,                0.77692,                      1,                 0.5427,             0.00043126,             0.00043126,             0.00043126
                     42,                0.06233,                0.76923,                      1,                0.55244,             0.00042419,             0.00042419,             0.00042419
                     43,                0.07357,                0.73077,                      1,                0.54452,             0.00041712,             0.00041712,             0.00041712
                     44,                0.05032,                0.71923,                      1,                0.55971,             0.00041005,             0.00041005,             0.00041005
                     45,                0.06366,                0.73462,                      1,                0.55652,             0.00040298,             0.00040298,             0.00040298
                     46,                0.06569,                0.80769,                      1,                0.51651,             0.00039591,             0.00039591,             0.00039591
                     47,                0.07651,                0.71154,                      1,                0.56437,             0.00038884,             0.00038884,             0.00038884
                     48,                0.07145,                0.76923,                      1,                0.54329,             0.00038178,             0.00038178,             0.00038178
                     49,                0.06703,                0.76538,                      1,                0.54027,             0.00037471,             0.00037471,             0.00037471
                     50,                0.04452,                0.75385,                      1,                0.55936,             0.00036764,             0.00036764,             0.00036764
                     51,                0.05251,                0.73077,                      1,                0.57397,             0.00036057,             0.00036057,             0.00036057
                     52,                0.05652,                0.75769,                      1,                0.55249,              0.0003535,              0.0003535,              0.0003535
                     53,                 0.0375,                0.76538,                      1,                0.54653,             0.00034643,             0.00034643,             0.00034643
                     54,                0.06534,                0.77308,                      1,                0.52686,             0.00033936,             0.00033936,             0.00033936
                     55,                0.05627,                0.74615,                      1,                0.54147,              0.0003323,              0.0003323,              0.0003323
