                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69853,                0.53684,                      1,                0.67934,             0.00023304,             0.00023304,             0.00023304
                      2,                0.62676,                0.64737,                      1,                0.62844,             0.00046638,             0.00046638,             0.00046638
                      3,                0.57668,                0.68947,                      1,                 0.6062,               0.000695,               0.000695,               0.000695
                      4,                0.50804,                0.75263,                      1,                0.56731,             0.00069279,             0.00069279,             0.00069279
                      5,                  0.447,                0.76316,                      1,                0.55099,             0.00068573,             0.00068573,             0.00068573
                      6,                0.44935,                0.75789,                      1,                0.54048,             0.00067866,             0.00067866,             0.00067866
                      7,                0.36835,                0.78947,                      1,                0.52661,             0.00067159,             0.00067159,             0.00067159
                      8,                0.34444,                0.76316,                      1,                0.53367,             0.00066452,             0.00066452,             0.00066452
                      9,                0.33903,                0.79474,                      1,                0.53141,             0.00065745,             0.00065745,             0.00065745
                     10,                 0.2785,                0.83158,                      1,                  0.506,             0.00065038,             0.00065038,             0.00065038
                     11,                 0.2647,                0.73684,                      1,                 0.5579,             0.00064331,             0.00064331,             0.00064331
                     12,                0.28487,                0.81579,                      1,                0.51229,             0.00063625,             0.00063625,             0.00063625
                     13,                0.26389,                0.78421,                      1,                0.51598,             0.00062918,             0.00062918,             0.00062918
                     14,                 0.2564,                0.78421,                      1,                0.52098,             0.00062211,             0.00062211,             0.00062211
                     15,                0.21807,                0.76842,                      1,                 0.5266,             0.00061504,             0.00061504,             0.00061504
                     16,                0.22769,                0.79474,                      1,                0.52281,             0.00060797,             0.00060797,             0.00060797
                     17,                 0.2063,                0.76316,                      1,                0.53621,              0.0006009,              0.0006009,              0.0006009
                     18,                0.19912,                0.81579,                      1,                0.50633,             0.00059383,             0.00059383,             0.00059383
                     19,                0.17598,                0.81579,                      1,                0.49959,             0.00058677,             0.00058677,             0.00058677
                     20,                0.17555,                0.76316,                      1,                 0.5267,              0.0005797,              0.0005797,              0.0005797
                     21,                0.15244,                0.76842,                      1,                0.53789,             0.00057263,             0.00057263,             0.00057263
                     22,                0.17251,                0.78421,                      1,                0.51611,             0.00056556,             0.00056556,             0.00056556
                     23,                0.14185,                0.81053,                      1,                0.50028,             0.00055849,             0.00055849,             0.00055849
                     24,                0.16841,                0.82105,                      1,                0.48871,             0.00055142,             0.00055142,             0.00055142
                     25,                 0.1375,                0.82632,                      1,                0.48878,             0.00054435,             0.00054435,             0.00054435
                     26,                0.15938,                0.84737,                      1,                0.47679,             0.00053728,             0.00053728,             0.00053728
                     27,                0.14687,                0.82105,                      1,                0.48222,             0.00053022,             0.00053022,             0.00053022
                     28,                0.12465,                0.84211,                      1,                0.48186,             0.00052315,             0.00052315,             0.00052315
                     29,                0.10743,                0.82105,                      1,                   0.49,             0.00051608,             0.00051608,             0.00051608
                     30,                0.08579,                0.83158,                      1,                0.48091,             0.00050901,             0.00050901,             0.00050901
                     31,                0.14147,                0.84211,                      1,                0.47234,             0.00050194,             0.00050194,             0.00050194
                     32,                0.11629,                0.83158,                      1,                0.48649,             0.00049487,             0.00049487,             0.00049487
                     33,                  0.112,                0.82105,                      1,                 0.4911,              0.0004878,              0.0004878,              0.0004878
                     34,                0.12216,                0.84211,                      1,                0.47592,             0.00048074,             0.00048074,             0.00048074
                     35,                0.13948,                    0.8,                      1,                0.49786,             0.00047367,             0.00047367,             0.00047367
                     36,                0.09373,                    0.8,                      1,                0.50474,              0.0004666,              0.0004666,              0.0004666
                     37,                0.11519,                0.82105,                      1,                0.48979,             0.00045953,             0.00045953,             0.00045953
                     38,                0.14441,                0.83684,                      1,                0.47291,             0.00045246,             0.00045246,             0.00045246
                     39,                0.11645,                0.82632,                      1,                 0.4881,             0.00044539,             0.00044539,             0.00044539
                     40,                0.11944,                0.84737,                      1,                0.46826,             0.00043832,             0.00043832,             0.00043832
                     41,                0.10687,                0.81579,                      1,                0.49511,             0.00043126,             0.00043126,             0.00043126
                     42,                   0.11,                0.83684,                      1,                0.47805,             0.00042419,             0.00042419,             0.00042419
                     43,                0.08687,                0.82105,                      1,                0.48982,             0.00041712,             0.00041712,             0.00041712
                     44,                0.07385,                0.83684,                      1,                0.47439,             0.00041005,             0.00041005,             0.00041005
                     45,                0.09533,                0.82105,                      1,                0.48004,             0.00040298,             0.00040298,             0.00040298
                     46,                0.07948,                0.83158,                      1,                0.47156,             0.00039591,             0.00039591,             0.00039591
                     47,                0.10615,                0.80526,                      1,                0.48566,             0.00038884,             0.00038884,             0.00038884
                     48,                0.09275,                0.83158,                      1,                0.47049,             0.00038178,             0.00038178,             0.00038178
                     49,                0.08019,                0.84211,                      1,                0.47343,             0.00037471,             0.00037471,             0.00037471
                     50,                0.06402,                0.86842,                      1,                0.45662,             0.00036764,             0.00036764,             0.00036764
                     51,                0.07758,                0.85263,                      1,                0.46833,             0.00036057,             0.00036057,             0.00036057
                     52,                0.09532,                0.84211,                      1,                0.47191,              0.0003535,              0.0003535,              0.0003535
                     53,                0.07208,                0.84211,                      1,                 0.4694,             0.00034643,             0.00034643,             0.00034643
                     54,                 0.0715,                0.83684,                      1,                0.46802,             0.00033936,             0.00033936,             0.00033936
                     55,                0.05009,                0.85789,                      1,                0.46116,              0.0003323,              0.0003323,              0.0003323
                     56,                0.06114,                0.84211,                      1,                0.46457,             0.00032523,             0.00032523,             0.00032523
                     57,                0.05449,                0.85789,                      1,                0.46726,             0.00031816,             0.00031816,             0.00031816
                     58,                0.07283,                0.83684,                      1,                0.46922,             0.00031109,             0.00031109,             0.00031109
                     59,                0.06118,                0.82105,                      1,                0.47831,             0.00030402,             0.00030402,             0.00030402
                     60,                0.07288,                0.80526,                      1,                0.47576,             0.00029695,             0.00029695,             0.00029695
                     61,                0.06601,                0.83158,                      1,                0.46616,             0.00028988,             0.00028988,             0.00028988
                     62,                0.10184,                0.78947,                      1,                 0.4853,             0.00028282,             0.00028282,             0.00028282
                     63,                0.05204,                0.84211,                      1,                0.46952,             0.00027575,             0.00027575,             0.00027575
                     64,                0.07884,                0.82632,                      1,                0.47825,             0.00026868,             0.00026868,             0.00026868
                     65,                0.06211,                0.83684,                      1,                0.46587,             0.00026161,             0.00026161,             0.00026161
                     66,                0.08401,                0.82105,                      1,                0.47473,             0.00025454,             0.00025454,             0.00025454
                     67,                0.08506,                0.83684,                      1,                0.46704,             0.00024747,             0.00024747,             0.00024747
                     68,                0.05893,                0.85263,                      1,                0.45798,              0.0002404,              0.0002404,              0.0002404
                     69,                0.04809,                0.81053,                      1,                0.47964,             0.00023334,             0.00023334,             0.00023334
                     70,                0.05636,                0.83684,                      1,                0.46183,             0.00022627,             0.00022627,             0.00022627
                     71,                0.04999,                0.84211,                      1,                0.45749,              0.0002192,              0.0002192,              0.0002192
                     72,                 0.0453,                0.86316,                      1,                0.45318,             0.00021213,             0.00021213,             0.00021213
                     73,                0.05325,                0.82105,                      1,                0.46472,             0.00020506,             0.00020506,             0.00020506
                     74,                0.04943,                0.81579,                      1,                0.47001,             0.00019799,             0.00019799,             0.00019799
