                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68553,                0.69474,                      1,                0.65074,             0.00023304,             0.00023304,             0.00023304
                      2,                0.57817,                0.71053,                      1,                0.58535,             0.00046638,             0.00046638,             0.00046638
                      3,                0.46355,                0.75789,                      1,                0.54767,               0.000695,               0.000695,               0.000695
                      4,                0.34855,                0.78947,                      1,                0.52991,             0.00069279,             0.00069279,             0.00069279
                      5,                0.29199,                0.76316,                      1,                0.52689,             0.00068573,             0.00068573,             0.00068573
                      6,                0.26252,                0.74737,                      1,                0.54363,             0.00067866,             0.00067866,             0.00067866
                      7,                0.23976,                0.75789,                      1,                0.51416,             0.00067159,             0.00067159,             0.00067159
                      8,                0.23057,                0.78421,                      1,                0.51256,             0.00066452,             0.00066452,             0.00066452
                      9,                0.23279,                0.74211,                      1,                0.54778,             0.00065745,             0.00065745,             0.00065745
                     10,                0.17535,                0.82632,                      1,                0.49177,             0.00065038,             0.00065038,             0.00065038
                     11,                0.19708,                0.84737,                      1,                0.47359,             0.00064331,             0.00064331,             0.00064331
                     12,                 0.1724,                0.81579,                      1,                0.48709,             0.00063625,             0.00063625,             0.00063625
                     13,                 0.1658,                0.78421,                      1,                0.51276,             0.00062918,             0.00062918,             0.00062918
                     14,                0.12494,                0.80526,                      1,                0.49427,             0.00062211,             0.00062211,             0.00062211
                     15,                0.13352,                0.78421,                      1,                0.51193,             0.00061504,             0.00061504,             0.00061504
                     16,                0.13774,                0.81579,                      1,                0.48344,             0.00060797,             0.00060797,             0.00060797
                     17,                0.14298,                    0.8,                      1,                0.49383,              0.0006009,              0.0006009,              0.0006009
                     18,                0.09179,                0.78421,                      1,                0.50705,             0.00059383,             0.00059383,             0.00059383
                     19,                0.10797,                0.77895,                      1,                0.51401,             0.00058677,             0.00058677,             0.00058677
                     20,                0.08376,                0.82105,                      1,                0.48842,              0.0005797,              0.0005797,              0.0005797
                     21,                0.07345,                0.83684,                      1,                0.48231,             0.00057263,             0.00057263,             0.00057263
                     22,                0.09486,                0.84211,                      1,                0.48277,             0.00056556,             0.00056556,             0.00056556
                     23,                0.09646,                0.85263,                      1,                0.45697,             0.00055849,             0.00055849,             0.00055849
                     24,                 0.0828,                0.84211,                      1,                0.46343,             0.00055142,             0.00055142,             0.00055142
                     25,                0.07554,                0.83158,                      1,                0.46874,             0.00054435,             0.00054435,             0.00054435
                     26,                0.07553,                0.82632,                      1,                 0.4759,             0.00053728,             0.00053728,             0.00053728
                     27,                0.08356,                0.77895,                      1,                 0.5136,             0.00053022,             0.00053022,             0.00053022
                     28,                0.07398,                0.81579,                      1,                 0.4989,             0.00052315,             0.00052315,             0.00052315
                     29,                0.07745,                0.82105,                      1,                0.48412,             0.00051608,             0.00051608,             0.00051608
                     30,                0.07035,                0.80526,                      1,                0.48124,             0.00050901,             0.00050901,             0.00050901
                     31,                0.05004,                0.78947,                      1,                0.50541,             0.00050194,             0.00050194,             0.00050194
                     32,                0.08087,                    0.8,                      1,                0.49107,             0.00049487,             0.00049487,             0.00049487
                     33,                  0.062,                0.81579,                      1,                0.49444,              0.0004878,              0.0004878,              0.0004878
                     34,                0.10619,                0.79474,                      1,                0.49589,             0.00048074,             0.00048074,             0.00048074
                     35,                0.05157,                    0.8,                      1,                0.49708,             0.00047367,             0.00047367,             0.00047367
                     36,                0.05584,                0.82632,                      1,                0.48565,              0.0004666,              0.0004666,              0.0004666
                     37,                0.06144,                0.76842,                      1,                0.50478,             0.00045953,             0.00045953,             0.00045953
                     38,                0.07076,                0.82105,                      1,                0.47168,             0.00045246,             0.00045246,             0.00045246
                     39,                0.06145,                0.78947,                      1,                0.49743,             0.00044539,             0.00044539,             0.00044539
                     40,                0.07063,                0.81053,                      1,                0.49131,             0.00043832,             0.00043832,             0.00043832
                     41,                0.07385,                0.84211,                      1,                0.45425,             0.00043126,             0.00043126,             0.00043126
                     42,                 0.0573,                0.85263,                      1,                0.46304,             0.00042419,             0.00042419,             0.00042419
                     43,                0.04376,                0.84737,                      1,                0.45935,             0.00041712,             0.00041712,             0.00041712
                     44,                 0.0405,                0.84211,                      1,                 0.4678,             0.00041005,             0.00041005,             0.00041005
                     45,                0.04721,                0.82632,                      1,                0.46609,             0.00040298,             0.00040298,             0.00040298
                     46,                0.03829,                0.81579,                      1,                0.47307,             0.00039591,             0.00039591,             0.00039591
                     47,                0.03982,                    0.8,                      1,                0.50512,             0.00038884,             0.00038884,             0.00038884
                     48,                0.03471,                0.82632,                      1,                 0.4775,             0.00038178,             0.00038178,             0.00038178
                     49,                0.03264,                0.83158,                      1,                0.47578,             0.00037471,             0.00037471,             0.00037471
                     50,                0.02683,                0.83684,                      1,                0.45389,             0.00036764,             0.00036764,             0.00036764
                     51,                0.04284,                    0.8,                      1,                0.47772,             0.00036057,             0.00036057,             0.00036057
                     52,                 0.0424,                    0.8,                      1,                0.47391,              0.0003535,              0.0003535,              0.0003535
                     53,                0.03163,                0.85789,                      1,                0.44764,             0.00034643,             0.00034643,             0.00034643
                     54,                0.03206,                0.83684,                      1,                0.46124,             0.00033936,             0.00033936,             0.00033936
                     55,                0.04563,                0.82632,                      1,                0.48494,              0.0003323,              0.0003323,              0.0003323
                     56,                0.03652,                0.84211,                      1,                0.46392,             0.00032523,             0.00032523,             0.00032523
                     57,                0.03539,                0.85789,                      1,                0.44908,             0.00031816,             0.00031816,             0.00031816
                     58,                0.02626,                0.82632,                      1,                 0.4563,             0.00031109,             0.00031109,             0.00031109
                     59,                0.01597,                0.83684,                      1,                0.46396,             0.00030402,             0.00030402,             0.00030402
                     60,                0.03439,                0.83684,                      1,                0.47091,             0.00029695,             0.00029695,             0.00029695
                     61,                0.02477,                0.82632,                      1,                0.47959,             0.00028988,             0.00028988,             0.00028988
                     62,                0.03011,                0.82632,                      1,                 0.4773,             0.00028282,             0.00028282,             0.00028282
                     63,                0.01641,                0.82632,                      1,                0.47725,             0.00027575,             0.00027575,             0.00027575
                     64,                0.03029,                0.81579,                      1,                0.47704,             0.00026868,             0.00026868,             0.00026868
                     65,                0.02311,                0.85263,                      1,                0.45885,             0.00026161,             0.00026161,             0.00026161
                     66,                0.02217,                0.84211,                      1,                0.45943,             0.00025454,             0.00025454,             0.00025454
                     67,                0.03767,                0.86842,                      1,                0.45702,             0.00024747,             0.00024747,             0.00024747
                     68,                0.02759,                0.86316,                      1,                0.45006,              0.0002404,              0.0002404,              0.0002404
                     69,                0.01339,                0.84737,                      1,                0.45592,             0.00023334,             0.00023334,             0.00023334
                     70,                0.02104,                0.85263,                      1,                0.44497,             0.00022627,             0.00022627,             0.00022627
                     71,                0.02332,                0.84737,                      1,                0.44861,              0.0002192,              0.0002192,              0.0002192
                     72,                0.01911,                0.83684,                      1,                 0.4607,             0.00021213,             0.00021213,             0.00021213
                     73,                0.02706,                0.87368,                      1,                0.44758,             0.00020506,             0.00020506,             0.00020506
                     74,                0.01953,                0.85789,                      1,                0.45294,             0.00019799,             0.00019799,             0.00019799
                     75,                0.01713,                0.86316,                      1,                0.44785,             0.00019092,             0.00019092,             0.00019092
                     76,                0.02323,                0.86316,                      1,                0.44381,             0.00018385,             0.00018385,             0.00018385
                     77,                0.02083,                0.85789,                      1,                0.44608,             0.00017679,             0.00017679,             0.00017679
                     78,                0.01953,                0.86842,                      1,                0.44587,             0.00016972,             0.00016972,             0.00016972
                     79,                0.01489,                0.86842,                      1,                0.45301,             0.00016265,             0.00016265,             0.00016265
                     80,                 0.0115,                0.86316,                      1,                0.45189,             0.00015558,             0.00015558,             0.00015558
                     81,                0.01432,                0.86842,                      1,                0.44474,             0.00014851,             0.00014851,             0.00014851
                     82,                0.02489,                0.87895,                      1,                0.44339,             0.00014144,             0.00014144,             0.00014144
                     83,                0.01625,                0.87895,                      1,                0.44314,             0.00013437,             0.00013437,             0.00013437
                     84,                0.01268,                0.87895,                      1,                0.44255,             0.00012731,             0.00012731,             0.00012731
                     85,                0.01801,                0.87368,                      1,                0.44197,             0.00012024,             0.00012024,             0.00012024
                     86,                0.01193,                0.87368,                      1,                0.44205,             0.00011317,             0.00011317,             0.00011317
                     87,                0.02193,                0.88421,                      1,                0.43077,              0.0001061,              0.0001061,              0.0001061
                     88,                0.02323,                0.87895,                      1,                0.43294,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.01281,                0.87895,                      1,                0.42918,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.01418,                0.88421,                      1,                0.43007,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.01935,                0.87368,                      1,                0.43193,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.01871,                0.88421,                      1,                0.43892,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.01246,                0.87368,                      1,                0.43235,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.01329,                0.87368,                      1,                0.43151,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.01592,                0.87368,                      1,                0.43153,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.00932,                0.87368,                      1,                0.43504,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.02117,                0.87368,                      1,                0.43219,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.01043,                0.87368,                      1,                 0.4321,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.01049,                0.86842,                      1,                 0.4357,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                 0.0096,                0.86842,                      1,                  0.435,             1.4209e-05,             1.4209e-05,             1.4209e-05
