                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96984,                  3.293,                 2.3066,                 1.2585,                0.00711,                0.94915,                0.82006,                0.62184,                0.00711,                0.94915,                 0.8073,                 0.4806,                0.64893,                 2.9408,                 2.3907,                 1.0122,                0.00022,                0.00022,                0.00022
                      2,                0.87553,                  1.651,                 1.3606,                 1.1766,                   0.98,                0.83033,                0.83586,                0.67238,                   0.96,                0.81349,                0.81556,                0.51462,                0.92878,                 3.3783,                 1.3354,                  1.322,             0.00045545,             0.00045545,             0.00045545
                      3,                0.87461,                 1.4714,                  1.032,                 1.2049,                0.83714,                0.84746,                0.85602,                0.59438,                0.77017,                0.77966,                0.78806,                0.46644,                0.89614,                 6.3449,                 3.2095,                 1.3043,             0.00068614,             0.00068614,             0.00068614
                      4,                0.88356,                 1.4177,                0.99053,                   1.19,                0.73956,                0.86637,                0.84373,                0.58938,                0.73956,                0.86637,                0.84354,                0.54829,                0.92459,                 3.5805,                 3.3695,                  1.365,             0.00091208,             0.00091208,             0.00091208
                      5,                0.87394,                 1.5102,                0.95486,                 1.1803,                0.47331,                0.84746,                0.82861,                0.54478,                0.48277,                0.86441,                0.82362,                0.51734,                0.89904,                 3.2843,                 4.6675,                 1.3556,              0.0011333,              0.0011333,              0.0011333
                      6,                0.95116,                 1.5087,                0.93373,                 1.2197,                0.80507,                0.77966,                0.86019,                0.51864,                0.80507,                0.77966,                0.85271,                0.48247,                 1.2757,                 3.1468,                 2.2426,                 1.5721,              0.0013497,              0.0013497,              0.0013497
                      7,                0.87146,                 1.3834,                0.87646,                  1.158,                0.74702,                0.70076,                0.78565,                0.53586,                0.74702,                0.70076,                0.79411,                0.48747,                 1.2292,                 2.8573,                 1.3742,                 1.3756,              0.0015614,              0.0015614,              0.0015614
                      8,                 0.8619,                 1.4997,                0.85006,                 1.1804,                 0.7837,                0.85981,                0.82769,                0.57867,                0.67569,                0.74164,                0.66775,                0.25226,                 1.1087,                 3.6571,                 1.5506,                 1.3364,              0.0017683,              0.0017683,              0.0017683
                      9,                0.84002,                 1.4495,                0.85151,                  1.159,                0.81001,                0.89831,                0.90395,                0.59876,                  0.884,                0.77503,                0.88166,                0.57432,                 1.0657,                 1.9059,                 1.3925,                 1.3968,              0.0018416,              0.0018416,              0.0018416
                     10,                0.87113,                 1.4386,                0.83459,                 1.1631,                0.97728,                0.86441,                0.87804,                0.69262,                0.95525,                0.84746,                 0.8679,                 0.6477,                 1.0956,                 2.1375,                  1.971,                 1.4221,              0.0018218,              0.0018218,              0.0018218
                     11,                0.86182,                 1.3125,                0.79463,                 1.1617,                 0.9305,                0.83051,                0.87376,                0.57284,                0.90506,                0.79661,                0.85029,                 0.5121,                  1.023,                 2.8336,                 2.1261,                 1.2736,               0.001802,               0.001802,               0.001802
                     12,                0.78092,                 1.2713,                0.75146,                 1.1059,                0.91728,                0.75184,                0.83306,                0.59969,                 0.9189,                0.77966,                0.83465,                0.57859,                0.88762,                 2.1311,                 1.7675,                  1.144,              0.0017822,              0.0017822,              0.0017822
                     13,                0.85624,                 1.3905,                0.78746,                   1.14,                0.73121,                0.83051,                0.78084,                0.62733,                0.73121,                0.83051,                0.77494,                0.58047,                0.88434,                 1.7667,                 1.4557,                 1.1537,              0.0017624,              0.0017624,              0.0017624
                     14,                0.82839,                 1.3024,                0.77497,                 1.1376,                0.84988,                0.86441,                0.88463,                 0.6339,                 0.8985,                0.77966,                 0.8782,                0.54875,                0.97514,                 2.4106,                 1.0521,                 1.3357,              0.0017426,              0.0017426,              0.0017426
                     15,                0.78783,                 1.4413,                0.76621,                 1.1171,                0.96215,                0.86176,                0.91486,                0.68778,                0.96215,                0.86176,                0.89854,                0.59493,                0.85722,                 2.6144,                 1.2705,                 1.2331,              0.0017228,              0.0017228,              0.0017228
                     16,                0.79256,                 1.2704,                0.74375,                 1.1249,                0.86433,                0.88136,                 0.8809,                0.64638,                0.85457,                0.86441,                 0.8702,                0.62898,                0.93832,                 2.0803,                 1.3342,                 1.2896,               0.001703,               0.001703,               0.001703
                     17,                0.76036,                 1.3299,                0.69003,                 1.1039,                0.83204,                0.86441,                0.84634,                0.66449,                0.83403,                0.86441,                0.85378,                0.62116,                0.84148,                 1.7909,                 1.2452,                  1.098,              0.0016832,              0.0016832,              0.0016832
                     18,                0.78531,                 1.3269,                0.70256,                   1.12,                0.94606,                0.89192,                0.91889,                0.72471,                0.94606,                0.89192,                0.91889,                0.66857,                 0.9254,                 1.9469,                 0.8441,                 1.2153,              0.0016634,              0.0016634,              0.0016634
                     19,                0.75092,                 1.2676,                0.70183,                 1.0953,                0.97433,                0.84746,                0.91416,                  0.669,                0.98033,                0.84462,                0.89616,                0.60824,                0.95794,                 2.0625,                0.96516,                 1.2415,              0.0016436,              0.0016436,              0.0016436
                     20,                0.76018,                 1.1718,                0.65197,                 1.1012,                0.97144,                0.86441,                0.91365,                0.73061,                0.97144,                0.86441,                0.91339,                0.70339,                0.84792,                 1.7527,                0.96225,                 1.1695,              0.0016238,              0.0016238,              0.0016238
                     21,                0.75742,                 1.2483,                0.69211,                 1.1089,                0.93417,                0.88136,                 0.8867,                 0.6751,                0.92037,                0.86441,                0.87107,                0.62953,                0.95788,                 1.9218,                 1.6083,                 1.1963,               0.001604,               0.001604,               0.001604
                     22,                0.76916,                  1.385,                0.68769,                 1.1025,                0.96332,                0.83051,                0.88079,                0.68343,                0.96657,                0.83051,                0.86348,                0.61891,                0.90673,                 1.8302,                 1.3561,                 1.1945,              0.0015842,              0.0015842,              0.0015842
                     23,                0.79486,                 1.3666,                0.70109,                 1.0978,                0.95642,                0.88136,                0.90566,                0.65935,                0.94236,                0.83051,                0.85955,                 0.6075,                0.95258,                 2.0951,                 1.1178,                 1.2139,              0.0015644,              0.0015644,              0.0015644
                     24,                 0.7256,                 1.2442,                0.65899,                 1.0628,                0.98032,                0.77966,                0.89372,                0.65855,                0.95901,                0.76271,                0.87022,                 0.5505,                0.93451,                 2.5758,                 1.1513,                 1.1814,              0.0015446,              0.0015446,              0.0015446
                     25,                0.68586,                 1.2644,                0.63148,                 1.0729,                0.95657,                0.84746,                0.88943,                0.64016,                0.94201,                0.81356,                0.85679,                0.62325,                0.84885,                 2.1477,                 1.1676,                 1.1497,              0.0015248,              0.0015248,              0.0015248
                     26,                0.76755,                 1.3147,                0.64554,                 1.1286,                0.92805,                0.89831,                0.89656,                0.70968,                0.91348,                0.89475,                0.89683,                0.69036,                0.78251,                  1.741,                0.82779,                 1.0728,               0.001505,               0.001505,               0.001505
                     27,                0.69677,                 1.1927,                0.60978,                 1.0694,                0.97688,                0.88136,                0.88868,                 0.7189,                0.97688,                0.88136,                0.88868,                0.68933,                0.72163,                  1.572,                0.86568,                 1.0659,              0.0014852,              0.0014852,              0.0014852
                     28,                0.67201,                 1.1371,                0.59847,                 1.0727,                0.94545,                0.88135,                0.88503,                0.71509,                0.94545,                0.88135,                0.89094,                0.66531,                0.83445,                 1.7068,                0.90628,                 1.1719,              0.0014654,              0.0014654,              0.0014654
                     29,                0.69405,                 1.1036,                0.58824,                 1.0594,                 0.8923,                0.84265,                0.88136,                0.71372,                 0.8923,                0.84265,                0.87497,                 0.6387,                0.84419,                 2.2033,                0.85277,                 1.1239,              0.0014456,              0.0014456,              0.0014456
                     30,                0.70229,                 1.1733,                0.62111,                  1.064,                0.86214,                0.88136,                0.89131,                 0.7209,                0.84556,                0.86441,                0.87406,                0.61555,                0.84551,                 2.7068,                0.76999,                 1.0903,              0.0014258,              0.0014258,              0.0014258
